interface,pod_id,node_id,description
1/1,1,101,SnV_standard_access
1/2,1,101,SnV_standard_access
1/3,1,101,SnV_standard_access
1/4,1,101,SnV_standard_access
1/5,1,101,SnV_FI-1A
1/6,1,101,SnV_FI-1A
1/7,1,101,SnV_FI-1A
1/8,1,101,SnV_FI-1A
1/9,1,101,EPG
1/10,1,101,EPG
1/11,1,101,EPG
1/12,1,101,EPG
1/13,1,101,Heroes_FI-2A
1/14,1,101,Heroes_FI-2A
1/15,1,101,Heroes_FI-2A
1/16,1,101,Heroes_FI-2A
1/17,1,101,Heroes_FI-2B
1/18,1,101,Heroes_FI-2B
1/19,1,101,Heroes_FI-2B
1/20,1,101,Heroes_FI-2B
1/21,1,101,Heroes_standard_access
1/22,1,101,Heroes_standard_access
1/23,1,101,Heroes_standard_access
1/24,1,101,Heroes_standard_access
1/25,1,101,disabled
1/26,1,101,disabled
1/27,1,101,disabled
1/28,1,101,disabled
1/29,1,101,disabled
1/30,1,101,disabled
1/31,1,101,disabled
1/32,1,101,disabled
1/33,1,101,disabled
1/34,1,101,disabled
1/35,1,101,disabled
1/36,1,101,disabled
1/37,1,101,disabled
1/38,1,101,disabled
1/39,1,101,disabled
1/40,1,101,EPG
1/41,1,101,APIC_1
1/42,1,101,disabled
1/43,1,101,disabled
1/44,1,101,disabled
1/45,1,101,disabled
1/46,1,101,disabled
1/47,1,101,Heroes_corporate_external
1/48,1,101,SnV_corporate_external
1/49,1,101,Spine-1
1/50,1,101,disabled
1/51,1,101,disabled
1/52,1,101,disabled
1/53,1,101,disabled
1/54,1,101,disabled
1/54,1,101,disabled
1/55,1,101,disabled
1/56,1,101,disabled
1/57,1,101,disabled
1/58,1,101,disabled
1/59,1,101,disabled
1/60,1,101,disabled
1/1,1,102,SnV_standard_access
1/2,1,102,SnV_standard_access
1/3,1,102,SnV_standard_access
1/4,1,102,SnV_standard_access
1/5,1,102,SnV_FI-1A
1/6,1,102,SnV_FI-1A
1/7,1,102,SnV_FI-1A
1/8,1,102,SnV_FI-1A
1/9,1,102,EPG
1/10,1,102,EPG
1/11,1,102,EPG
1/12,1,102,EPG
1/13,1,102,Heroes_FI-2A
1/14,1,102,Heroes_FI-2A
1/15,1,102,Heroes_FI-2A
1/16,1,102,Heroes_FI-2A
1/17,1,102,Heroes_FI-2B
1/18,1,102,Heroes_FI-2B
1/19,1,102,Heroes_FI-2B
1/20,1,102,Heroes_FI-2B
1/21,1,102,Heroes_standard_access
1/22,1,102,Heroes_standard_access
1/23,1,102,Heroes_standard_access
1/24,1,102,Heroes_standard_access
1/25,1,102,disabled
1/26,1,102,disabled
1/27,1,102,disabled
1/28,1,102,disabled
1/29,1,102,disabled
1/30,1,102,disabled
1/31,1,102,disabled
1/32,1,102,disabled
1/33,1,102,disabled
1/34,1,102,disabled
1/35,1,102,disabled
1/36,1,102,disabled
1/37,1,102,disabled
1/38,1,102,disabled
1/39,1,102,disabled
1/40,1,102,EPG
1/41,1,102,
1/41,1,102,disabled
1/42,1,102,disabled
1/43,1,102,disabled
1/44,1,102,disabled
1/45,1,102,disabled
1/46,1,102,disabled
1/47,1,102,Heroes_corporate_external
1/48,1,102,SnV_corporate_external
1/49,1,102,Spine-1
1/50,1,102,disabled
1/51,1,102,disabled
1/52,1,102,disabled
1/53,1,102,disabled
1/54,1,102,disabled
1/54,1,102,disabled
1/55,1,102,disabled
1/56,1,102,disabled
1/57,1,102,disabled
1/58,1,102,disabled
1/59,1,102,disabled
1/60,1,102,disabled
