interface,pod_id,node_id,description
1/25,1,101,disabled
1/26,1,101,disabled
1/27,1,101,disabled
1/28,1,101,disabled
1/29,1,101,disabled
1/30,1,101,disabled
1/31,1,101,disabled
1/32,1,101,disabled
1/33,1,101,disabled
1/34,1,101,disabled
1/35,1,101,disabled
1/36,1,101,disabled
1/37,1,101,disabled
1/38,1,101,disabled
1/39,1,101,disabled
1/42,1,101,disabled
1/43,1,101,disabled
1/44,1,101,disabled
1/45,1,101,disabled
1/46,1,101,disabled
1/50,1,101,disabled
1/51,1,101,disabled
1/52,1,101,disabled
1/53,1,101,disabled
1/54,1,101,disabled
1/54,1,101,disabled
1/55,1,101,disabled
1/56,1,101,disabled
1/57,1,101,disabled
1/58,1,101,disabled
1/59,1,101,disabled
1/60,1,101,disabled
1/25,1,102,disabled
1/26,1,102,disabled
1/27,1,102,disabled
1/28,1,102,disabled
1/29,1,102,disabled
1/30,1,102,disabled
1/31,1,102,disabled
1/32,1,102,disabled
1/33,1,102,disabled
1/34,1,102,disabled
1/35,1,102,disabled
1/36,1,102,disabled
1/37,1,102,disabled
1/38,1,102,disabled
1/39,1,102,disabled
1/41,1,102,disabled
1/42,1,102,disabled
1/43,1,102,disabled
1/44,1,102,disabled
1/45,1,102,disabled
1/46,1,102,disabled
1/50,1,102,disabled
1/51,1,102,disabled
1/52,1,102,disabled
1/53,1,102,disabled
1/54,1,102,disabled
1/54,1,102,disabled
1/55,1,102,disabled
1/56,1,102,disabled
1/57,1,102,disabled
1/58,1,102,disabled
1/59,1,102,disabled
1/60,1,102,disabled
